case_id,status,split,train_order,hdf5_file,nodes,time_steps,size_bytes
Case_0047,valid_hdf5,train,722,Case_0047.h5,725,151,638049
Case_0048,valid_hdf5,train,195,Case_0048.h5,725,151,686172
Case_0049,valid_hdf5,train,641,Case_0049.h5,725,151,636853
Case_0050,valid_hdf5,valid,,Case_0050.h5,725,151,673380
Case_0051,valid_hdf5,train,11,Case_0051.h5,725,151,675016
Case_0052,valid_hdf5,train,487,Case_0052.h5,725,151,672498
Case_0053,valid_hdf5,train,383,Case_0053.h5,725,151,694131
Case_0054,valid_hdf5,valid,,Case_0054.h5,725,151,689804
Case_0055,valid_hdf5,train,171,Case_0055.h5,725,151,695592
Case_0056,valid_hdf5,train,509,Case_0056.h5,725,151,699394
Case_0057,valid_hdf5,valid,,Case_0057.h5,725,151,640686
Case_0058,valid_hdf5,train,679,Case_0058.h5,725,151,716376
Case_0059,valid_hdf5,train,456,Case_0059.h5,725,151,653093
Case_0060,valid_hdf5,train,582,Case_0060.h5,725,151,687644
Case_0061,valid_hdf5,train,538,Case_0061.h5,725,151,698889
Case_0062,valid_hdf5,train,36,Case_0062.h5,725,151,637375
Case_0063,valid_hdf5,train,506,Case_0063.h5,725,151,664483
Case_0064,valid_hdf5,train,245,Case_0064.h5,725,151,653464
Case_0065,valid_hdf5,train,58,Case_0065.h5,725,151,663299
Case_0066,valid_hdf5,train,633,Case_0066.h5,725,151,694374
Case_0067,valid_hdf5,train,71,Case_0067.h5,725,151,655849
Case_0068,valid_hdf5,train,672,Case_0068.h5,725,151,655446
Case_0069,valid_hdf5,train,160,Case_0069.h5,725,151,615198
Case_0070,valid_hdf5,train,536,Case_0070.h5,725,151,674949
Case_0071,valid_hdf5,train,576,Case_0071.h5,725,151,722614
Case_0072,valid_hdf5,train,723,Case_0072.h5,725,151,681502
Case_0073,valid_hdf5,train,540,Case_0073.h5,725,151,692751
Case_0074,valid_hdf5,train,698,Case_0074.h5,725,151,689092
Case_0075,valid_hdf5,train,421,Case_0075.h5,725,151,689990
Case_0076,valid_hdf5,train,416,Case_0076.h5,725,151,661445
Case_0077,valid_hdf5,test,,Case_0077.h5,725,151,713323
Case_0078,valid_hdf5,train,491,Case_0078.h5,725,151,668359
Case_0079,valid_hdf5,train,125,Case_0079.h5,725,151,653286
Case_0080,valid_hdf5,train,20,Case_0080.h5,725,151,687975
Case_0081,valid_hdf5,train,734,Case_0081.h5,725,151,683976
Case_0082,valid_hdf5,train,717,Case_0082.h5,725,151,652383
Case_0083,valid_hdf5,train,447,Case_0083.h5,725,151,643651
Case_0084,valid_hdf5,train,436,Case_0084.h5,725,151,693809
Case_0085,valid_hdf5,test,,Case_0085.h5,725,151,697767
Case_0086,valid_hdf5,valid,,Case_0086.h5,725,151,654625
Case_0087,valid_hdf5,train,204,Case_0087.h5,725,151,662787
Case_0088,valid_hdf5,train,578,Case_0088.h5,725,151,690251
Case_0089,valid_hdf5,test,,Case_0089.h5,725,151,662809
Case_0090,valid_hdf5,train,786,Case_0090.h5,725,151,694912
Case_0091,failed_terminal,excluded,,,,,
Case_0092,valid_hdf5,train,345,Case_0092.h5,725,151,674790
Case_0093,valid_hdf5,train,341,Case_0093.h5,725,151,690235
Case_0094,valid_hdf5,test,,Case_0094.h5,725,151,723619
Case_0095,valid_hdf5,train,643,Case_0095.h5,725,151,682189
Case_0096,valid_hdf5,train,749,Case_0096.h5,725,151,707319
Case_0097,valid_hdf5,train,781,Case_0097.h5,725,151,675535
Case_0098,valid_hdf5,train,517,Case_0098.h5,725,151,652810
Case_0099,valid_hdf5,train,268,Case_0099.h5,725,151,694882
Case_0100,valid_hdf5,train,304,Case_0100.h5,725,151,690346
Case_0101,valid_hdf5,train,747,Case_0101.h5,725,151,677388
Case_0102,valid_hdf5,train,507,Case_0102.h5,725,151,700126
Case_0103,valid_hdf5,train,190,Case_0103.h5,725,151,705544
Case_0104,valid_hdf5,train,417,Case_0104.h5,725,151,673712
Case_0105,valid_hdf5,train,714,Case_0105.h5,725,151,652503
Case_0106,valid_hdf5,train,791,Case_0106.h5,725,151,695060
Case_0107,valid_hdf5,train,355,Case_0107.h5,725,151,699642
Case_0108,valid_hdf5,train,398,Case_0108.h5,725,151,663513
Case_0109,valid_hdf5,train,217,Case_0109.h5,725,151,671639
Case_0110,valid_hdf5,train,603,Case_0110.h5,725,151,671293
Case_0111,valid_hdf5,train,394,Case_0111.h5,725,151,688131
Case_0112,valid_hdf5,test,,Case_0112.h5,725,151,684089
Case_0113,valid_hdf5,train,503,Case_0113.h5,725,151,706257
Case_0114,valid_hdf5,train,640,Case_0114.h5,725,151,690687
Case_0115,valid_hdf5,train,318,Case_0115.h5,725,151,693387
Case_0116,valid_hdf5,train,799,Case_0116.h5,725,151,674746
Case_0117,valid_hdf5,train,191,Case_0117.h5,725,151,656084
Case_0118,valid_hdf5,train,308,Case_0118.h5,725,151,698661
Case_0119,valid_hdf5,train,622,Case_0119.h5,725,151,637220
Case_0120,valid_hdf5,train,395,Case_0120.h5,725,151,695812
Case_0121,valid_hdf5,train,91,Case_0121.h5,725,151,645461
Case_0122,valid_hdf5,train,194,Case_0122.h5,725,151,686663
Case_0123,valid_hdf5,train,34,Case_0123.h5,725,151,686578
Case_0124,failed_terminal,excluded,,,,,
Case_0125,valid_hdf5,train,441,Case_0125.h5,725,151,655031
Case_0126,valid_hdf5,train,552,Case_0126.h5,725,151,670780
Case_0127,valid_hdf5,train,174,Case_0127.h5,725,151,723782
Case_0128,valid_hdf5,train,186,Case_0128.h5,725,151,681852
Case_0129,valid_hdf5,train,144,Case_0129.h5,725,151,672108
Case_0130,failed_terminal,excluded,,,,,
Case_0131,valid_hdf5,train,736,Case_0131.h5,725,151,712804
Case_0132,valid_hdf5,train,574,Case_0132.h5,725,151,657365
Case_0133,valid_hdf5,test,,Case_0133.h5,725,151,694737
Case_0134,valid_hdf5,train,363,Case_0134.h5,725,151,705283
Case_0135,valid_hdf5,train,573,Case_0135.h5,725,151,700426
Case_0136,valid_hdf5,train,145,Case_0136.h5,725,151,681666
Case_0137,valid_hdf5,train,376,Case_0137.h5,725,151,673264
Case_0138,valid_hdf5,train,425,Case_0138.h5,725,151,650611
Case_0139,valid_hdf5,train,525,Case_0139.h5,725,151,682549
Case_0140,valid_hdf5,train,328,Case_0140.h5,725,151,684844
Case_0141,valid_hdf5,train,397,Case_0141.h5,725,151,723484
Case_0142,valid_hdf5,train,52,Case_0142.h5,725,151,689543
Case_0143,valid_hdf5,train,134,Case_0143.h5,725,151,657835
Case_0144,valid_hdf5,train,139,Case_0144.h5,725,151,668937
Case_0145,valid_hdf5,train,646,Case_0145.h5,725,151,668764
Case_0146,valid_hdf5,train,793,Case_0146.h5,725,151,658677
Case_0147,failed_terminal,excluded,,,,,
Case_0148,valid_hdf5,train,497,Case_0148.h5,725,151,686340
Case_0149,valid_hdf5,train,82,Case_0149.h5,725,151,715784
Case_0150,valid_hdf5,train,201,Case_0150.h5,725,151,701634
Case_0151,valid_hdf5,train,661,Case_0151.h5,725,151,637262
Case_0152,valid_hdf5,train,15,Case_0152.h5,725,151,695505
Case_0153,valid_hdf5,train,18,Case_0153.h5,725,151,696442
Case_0154,valid_hdf5,test,,Case_0154.h5,725,151,692275
Case_0155,valid_hdf5,test,,Case_0155.h5,725,151,648291
Case_0156,valid_hdf5,train,365,Case_0156.h5,725,151,670409
Case_0157,valid_hdf5,train,368,Case_0157.h5,725,151,678342
Case_0158,valid_hdf5,train,243,Case_0158.h5,725,151,678065
Case_0159,failed_terminal,excluded,,,,,
Case_0160,valid_hdf5,train,223,Case_0160.h5,725,151,662686
Case_0161,valid_hdf5,train,219,Case_0161.h5,725,151,659726
Case_0162,valid_hdf5,train,639,Case_0162.h5,725,151,687703
Case_0163,valid_hdf5,valid,,Case_0163.h5,725,151,704974
Case_0164,valid_hdf5,train,465,Case_0164.h5,725,151,649297
Case_0165,failed_terminal,excluded,,,,,
Case_0166,valid_hdf5,train,754,Case_0166.h5,725,151,694371
Case_0167,valid_hdf5,train,275,Case_0167.h5,725,151,701858
Case_0168,valid_hdf5,train,612,Case_0168.h5,725,151,652833
Case_0169,valid_hdf5,train,155,Case_0169.h5,725,151,650175
Case_0170,valid_hdf5,train,759,Case_0170.h5,725,151,673244
Case_0171,valid_hdf5,train,212,Case_0171.h5,725,151,703929
Case_0172,valid_hdf5,train,594,Case_0172.h5,725,151,649690
Case_0173,valid_hdf5,train,707,Case_0173.h5,725,151,671466
Case_0174,valid_hdf5,train,691,Case_0174.h5,725,151,640697
Case_0175,valid_hdf5,train,475,Case_0175.h5,725,151,674620
Case_0176,valid_hdf5,train,569,Case_0176.h5,725,151,651772
Case_0177,valid_hdf5,train,482,Case_0177.h5,725,151,674613
Case_0178,valid_hdf5,train,196,Case_0178.h5,725,151,690856
Case_0179,valid_hdf5,train,96,Case_0179.h5,725,151,697022
Case_0180,valid_hdf5,train,14,Case_0180.h5,725,151,669090
Case_0181,valid_hdf5,valid,,Case_0181.h5,725,151,628609
Case_0182,valid_hdf5,train,695,Case_0182.h5,725,151,706897
Case_0183,valid_hdf5,train,278,Case_0183.h5,725,151,677079
Case_0184,failed_terminal,excluded,,,,,
Case_0185,valid_hdf5,valid,,Case_0185.h5,725,151,713047
Case_0186,valid_hdf5,test,,Case_0186.h5,725,151,695166
Case_0187,valid_hdf5,train,313,Case_0187.h5,725,151,713449
Case_0188,valid_hdf5,train,108,Case_0188.h5,725,151,682859
Case_0189,valid_hdf5,test,,Case_0189.h5,725,151,656526
Case_0190,valid_hdf5,train,605,Case_0190.h5,725,151,702579
Case_0191,valid_hdf5,test,,Case_0191.h5,725,151,715082
Case_0192,valid_hdf5,train,23,Case_0192.h5,725,151,684814
Case_0193,valid_hdf5,train,94,Case_0193.h5,725,151,664561
Case_0194,valid_hdf5,train,253,Case_0194.h5,725,151,669696
Case_0195,valid_hdf5,train,495,Case_0195.h5,725,151,712728
Case_0196,valid_hdf5,test,,Case_0196.h5,725,151,686352
Case_0197,valid_hdf5,test,,Case_0197.h5,725,151,650358
Case_0198,valid_hdf5,train,446,Case_0198.h5,725,151,717799
Case_0199,valid_hdf5,train,53,Case_0199.h5,725,151,683148
Case_0200,valid_hdf5,train,61,Case_0200.h5,725,151,683295
Case_0201,valid_hdf5,train,43,Case_0201.h5,725,151,670767
Case_0202,valid_hdf5,train,518,Case_0202.h5,725,151,682189
Case_0203,valid_hdf5,train,323,Case_0203.h5,725,151,702307
Case_0204,valid_hdf5,train,725,Case_0204.h5,725,151,699257
Case_0205,valid_hdf5,train,270,Case_0205.h5,725,151,676514
Case_0206,valid_hdf5,test,,Case_0206.h5,725,151,712103
Case_0207,valid_hdf5,train,113,Case_0207.h5,725,151,680589
Case_0208,valid_hdf5,test,,Case_0208.h5,725,151,700257
Case_0209,valid_hdf5,test,,Case_0209.h5,725,151,666924
Case_0210,valid_hdf5,test,,Case_0210.h5,725,151,654880
Case_0211,valid_hdf5,train,774,Case_0211.h5,725,151,681566
Case_0212,valid_hdf5,train,303,Case_0212.h5,725,151,678309
Case_0213,valid_hdf5,train,561,Case_0213.h5,725,151,712731
Case_0214,valid_hdf5,train,237,Case_0214.h5,725,151,685696
Case_0215,valid_hdf5,train,222,Case_0215.h5,725,151,704233
Case_0216,valid_hdf5,train,388,Case_0216.h5,725,151,685227
Case_0217,valid_hdf5,train,430,Case_0217.h5,725,151,649367
Case_0218,valid_hdf5,train,335,Case_0218.h5,725,151,698848
Case_0219,valid_hdf5,train,343,Case_0219.h5,725,151,670528
Case_0220,valid_hdf5,train,181,Case_0220.h5,725,151,725418
Case_0221,valid_hdf5,train,57,Case_0221.h5,725,151,701582
Case_0222,valid_hdf5,train,704,Case_0222.h5,725,151,649352
Case_0223,valid_hdf5,train,390,Case_0223.h5,725,151,670740
Case_0224,valid_hdf5,train,671,Case_0224.h5,725,151,668933
Case_0225,valid_hdf5,train,667,Case_0225.h5,725,151,652861
Case_0226,valid_hdf5,train,478,Case_0226.h5,725,151,709032
Case_0227,valid_hdf5,train,527,Case_0227.h5,725,151,670534
Case_0228,valid_hdf5,train,753,Case_0228.h5,725,151,673437
Case_0229,valid_hdf5,train,75,Case_0229.h5,725,151,660589
Case_0230,valid_hdf5,train,462,Case_0230.h5,725,151,695490
Case_0231,valid_hdf5,train,780,Case_0231.h5,725,151,697667
Case_0232,valid_hdf5,train,684,Case_0232.h5,725,151,660041
Case_0233,valid_hdf5,train,768,Case_0233.h5,725,151,651350
Case_0234,valid_hdf5,train,210,Case_0234.h5,725,151,691491
Case_0235,valid_hdf5,test,,Case_0235.h5,725,151,685492
Case_0236,valid_hdf5,train,794,Case_0236.h5,725,151,692247
Case_0237,valid_hdf5,train,66,Case_0237.h5,725,151,708267
Case_0238,valid_hdf5,train,550,Case_0238.h5,725,151,695015
Case_0239,valid_hdf5,test,,Case_0239.h5,725,151,684260
Case_0240,valid_hdf5,train,85,Case_0240.h5,725,151,671540
Case_0241,valid_hdf5,train,720,Case_0241.h5,725,151,709841
Case_0242,valid_hdf5,train,678,Case_0242.h5,725,151,683433
Case_0243,valid_hdf5,train,544,Case_0243.h5,725,151,714170
Case_0244,valid_hdf5,valid,,Case_0244.h5,725,151,653235
Case_0245,valid_hdf5,train,166,Case_0245.h5,725,151,707140
Case_0246,valid_hdf5,train,779,Case_0246.h5,725,151,673494
Case_0247,valid_hdf5,valid,,Case_0247.h5,725,151,685362
Case_0248,valid_hdf5,train,443,Case_0248.h5,725,151,680006
Case_0249,valid_hdf5,valid,,Case_0249.h5,725,151,646289
Case_0250,valid_hdf5,train,483,Case_0250.h5,725,151,645372
Case_0251,valid_hdf5,train,531,Case_0251.h5,725,151,658726
Case_0252,valid_hdf5,train,428,Case_0252.h5,725,151,665585
Case_0253,valid_hdf5,train,583,Case_0253.h5,725,151,642830
Case_0254,valid_hdf5,train,581,Case_0254.h5,725,151,698002
Case_0255,valid_hdf5,test,,Case_0255.h5,725,151,722122
Case_0256,valid_hdf5,train,521,Case_0256.h5,725,151,658143
Case_0257,valid_hdf5,train,103,Case_0257.h5,725,151,684605
Case_0258,valid_hdf5,train,795,Case_0258.h5,725,151,699325
Case_0259,valid_hdf5,train,29,Case_0259.h5,725,151,691802
Case_0260,valid_hdf5,train,658,Case_0260.h5,725,151,671566
Case_0261,valid_hdf5,train,551,Case_0261.h5,725,151,673593
Case_0262,valid_hdf5,train,502,Case_0262.h5,725,151,644984
Case_0263,valid_hdf5,train,492,Case_0263.h5,725,151,681166
Case_0264,valid_hdf5,valid,,Case_0264.h5,725,151,676991
Case_0265,valid_hdf5,train,627,Case_0265.h5,725,151,678999
Case_0266,valid_hdf5,train,152,Case_0266.h5,725,151,680262
Case_0267,valid_hdf5,train,242,Case_0267.h5,725,151,665898
Case_0268,valid_hdf5,train,294,Case_0268.h5,725,151,618690
Case_0269,valid_hdf5,train,272,Case_0269.h5,725,151,668114
Case_0270,valid_hdf5,test,,Case_0270.h5,725,151,678476
Case_0271,valid_hdf5,train,200,Case_0271.h5,725,151,679006
Case_0272,valid_hdf5,train,102,Case_0272.h5,725,151,700363
Case_0273,valid_hdf5,train,167,Case_0273.h5,725,151,677016
Case_0274,valid_hdf5,train,262,Case_0274.h5,725,151,666522
Case_0275,valid_hdf5,train,431,Case_0275.h5,725,151,674611
Case_0276,valid_hdf5,train,375,Case_0276.h5,725,151,669994
Case_0277,valid_hdf5,train,654,Case_0277.h5,725,151,699543
Case_0278,valid_hdf5,train,742,Case_0278.h5,725,151,697687
Case_0279,valid_hdf5,train,660,Case_0279.h5,725,151,707689
Case_0280,valid_hdf5,train,44,Case_0280.h5,725,151,662507
Case_0281,valid_hdf5,train,702,Case_0281.h5,725,151,672504
Case_0282,valid_hdf5,train,673,Case_0282.h5,725,151,642724
Case_0283,valid_hdf5,train,260,Case_0283.h5,725,151,652398
Case_0284,valid_hdf5,train,688,Case_0284.h5,725,151,687435
Case_0285,valid_hdf5,train,119,Case_0285.h5,725,151,684293
Case_0286,valid_hdf5,train,392,Case_0286.h5,725,151,699381
Case_0287,valid_hdf5,train,60,Case_0287.h5,725,151,665847
Case_0288,valid_hdf5,train,221,Case_0288.h5,725,151,685346
Case_0289,valid_hdf5,train,796,Case_0289.h5,725,151,682563
Case_0290,valid_hdf5,train,117,Case_0290.h5,725,151,720571
Case_0291,valid_hdf5,train,380,Case_0291.h5,725,151,690536
Case_0292,valid_hdf5,train,765,Case_0292.h5,725,151,700494
Case_0293,valid_hdf5,train,530,Case_0293.h5,725,151,685895
Case_0294,valid_hdf5,train,157,Case_0294.h5,725,151,689292
Case_0295,valid_hdf5,train,74,Case_0295.h5,725,151,679506
Case_0296,valid_hdf5,train,391,Case_0296.h5,725,151,708193
Case_0297,valid_hdf5,test,,Case_0297.h5,725,151,698356
Case_0298,valid_hdf5,train,21,Case_0298.h5,725,151,658044
Case_0299,valid_hdf5,train,406,Case_0299.h5,725,151,668879
Case_0300,valid_hdf5,train,469,Case_0300.h5,725,151,693169
Case_0301,valid_hdf5,train,33,Case_0301.h5,725,151,699885
Case_0302,valid_hdf5,train,179,Case_0302.h5,725,151,686587
Case_0303,valid_hdf5,train,269,Case_0303.h5,725,151,697565
Case_0304,valid_hdf5,train,718,Case_0304.h5,725,151,677631
Case_0305,valid_hdf5,train,284,Case_0305.h5,725,151,659703
Case_0306,valid_hdf5,test,,Case_0306.h5,725,151,652889
Case_0307,valid_hdf5,valid,,Case_0307.h5,725,151,668100
Case_0308,valid_hdf5,train,732,Case_0308.h5,725,151,696175
Case_0309,valid_hdf5,train,99,Case_0309.h5,725,151,673158
Case_0310,valid_hdf5,train,97,Case_0310.h5,725,151,705630
Case_0311,valid_hdf5,train,463,Case_0311.h5,725,151,695611
Case_0312,valid_hdf5,train,156,Case_0312.h5,725,151,709412
Case_0313,valid_hdf5,train,601,Case_0313.h5,725,151,690704
Case_0314,valid_hdf5,train,399,Case_0314.h5,725,151,698869
Case_0315,valid_hdf5,train,424,Case_0315.h5,725,151,652498
Case_0316,valid_hdf5,valid,,Case_0316.h5,725,151,720943
Case_0317,valid_hdf5,train,402,Case_0317.h5,725,151,668012
Case_0318,valid_hdf5,train,273,Case_0318.h5,725,151,653613
Case_0319,valid_hdf5,valid,,Case_0319.h5,725,151,706862
Case_0320,valid_hdf5,train,184,Case_0320.h5,725,151,705076
Case_0321,valid_hdf5,train,153,Case_0321.h5,725,151,706801
Case_0322,valid_hdf5,train,584,Case_0322.h5,725,151,669270
Case_0323,valid_hdf5,train,361,Case_0323.h5,725,151,649245
Case_0324,valid_hdf5,valid,,Case_0324.h5,725,151,669970
Case_0325,valid_hdf5,train,197,Case_0325.h5,725,151,637185
Case_0326,valid_hdf5,train,64,Case_0326.h5,725,151,689660
Case_0327,valid_hdf5,train,560,Case_0327.h5,725,151,693755
Case_0328,valid_hdf5,test,,Case_0328.h5,725,151,701513
Case_0329,valid_hdf5,train,457,Case_0329.h5,725,151,696441
Case_0330,valid_hdf5,train,668,Case_0330.h5,725,151,665432
Case_0331,valid_hdf5,train,675,Case_0331.h5,725,151,677091
Case_0332,valid_hdf5,train,198,Case_0332.h5,725,151,685810
Case_0333,valid_hdf5,valid,,Case_0333.h5,725,151,686217
Case_0334,valid_hdf5,train,159,Case_0334.h5,725,151,717112
Case_0335,valid_hdf5,valid,,Case_0335.h5,725,151,655377
Case_0336,valid_hdf5,train,295,Case_0336.h5,725,151,697106
Case_0337,valid_hdf5,train,104,Case_0337.h5,725,151,632892
Case_0338,valid_hdf5,train,2,Case_0338.h5,725,151,710807
Case_0339,failed_terminal,excluded,,,,,
Case_0340,failed_terminal,excluded,,,,,
Case_0341,valid_hdf5,train,589,Case_0341.h5,725,151,653493
Case_0342,valid_hdf5,train,682,Case_0342.h5,725,151,682369
Case_0343,valid_hdf5,valid,,Case_0343.h5,725,151,682099
Case_0344,valid_hdf5,valid,,Case_0344.h5,725,151,700346
Case_0345,valid_hdf5,train,213,Case_0345.h5,725,151,685692
Case_0346,valid_hdf5,train,25,Case_0346.h5,725,151,635518
Case_0347,valid_hdf5,train,305,Case_0347.h5,725,151,633302
Case_0348,valid_hdf5,train,534,Case_0348.h5,725,151,675745
Case_0349,valid_hdf5,train,246,Case_0349.h5,725,151,671696
Case_0350,valid_hdf5,train,250,Case_0350.h5,725,151,703233
Case_0351,valid_hdf5,train,377,Case_0351.h5,725,151,674447
Case_0352,valid_hdf5,train,333,Case_0352.h5,725,151,681837
Case_0353,valid_hdf5,train,255,Case_0353.h5,725,151,680388
Case_0354,valid_hdf5,train,751,Case_0354.h5,725,151,684923
Case_0355,valid_hdf5,train,208,Case_0355.h5,725,151,663120
Case_0356,valid_hdf5,train,548,Case_0356.h5,725,151,690933
Case_0357,valid_hdf5,train,504,Case_0357.h5,725,151,653077
Case_0358,valid_hdf5,train,756,Case_0358.h5,725,151,669511
Case_0359,valid_hdf5,train,173,Case_0359.h5,725,151,647153
Case_0360,valid_hdf5,train,12,Case_0360.h5,725,151,694736
Case_0361,valid_hdf5,train,389,Case_0361.h5,725,151,680108
Case_0362,valid_hdf5,train,744,Case_0362.h5,725,151,692910
Case_0363,valid_hdf5,valid,,Case_0363.h5,725,151,708124
Case_0364,valid_hdf5,train,135,Case_0364.h5,725,151,680824
Case_0365,valid_hdf5,test,,Case_0365.h5,725,151,696504
Case_0366,valid_hdf5,train,236,Case_0366.h5,725,151,708570
Case_0367,valid_hdf5,train,410,Case_0367.h5,725,151,702478
Case_0368,valid_hdf5,valid,,Case_0368.h5,725,151,686064
Case_0369,valid_hdf5,train,325,Case_0369.h5,725,151,655890
Case_0370,failed_terminal,excluded,,,,,
Case_0371,valid_hdf5,train,35,Case_0371.h5,725,151,667920
Case_0372,valid_hdf5,test,,Case_0372.h5,725,151,690585
Case_0373,valid_hdf5,train,513,Case_0373.h5,725,151,679223
Case_0374,valid_hdf5,train,705,Case_0374.h5,725,151,673903
Case_0375,valid_hdf5,train,65,Case_0375.h5,725,151,686446
Case_0376,failed_terminal,excluded,,,,,
Case_0377,valid_hdf5,train,31,Case_0377.h5,725,151,695985
Case_0378,valid_hdf5,train,358,Case_0378.h5,725,151,680814
Case_0379,valid_hdf5,train,746,Case_0379.h5,725,151,688887
Case_0380,valid_hdf5,train,258,Case_0380.h5,725,151,675184
Case_0381,valid_hdf5,train,154,Case_0381.h5,725,151,704281
Case_0382,valid_hdf5,train,727,Case_0382.h5,725,151,649514
Case_0383,valid_hdf5,train,585,Case_0383.h5,725,151,696240
Case_0384,valid_hdf5,train,78,Case_0384.h5,725,151,716757
Case_0385,valid_hdf5,train,708,Case_0385.h5,725,151,703233
Case_0386,valid_hdf5,train,81,Case_0386.h5,725,151,685562
Case_0387,valid_hdf5,test,,Case_0387.h5,725,151,683524
Case_0388,valid_hdf5,train,331,Case_0388.h5,725,151,709703
Case_0389,valid_hdf5,train,340,Case_0389.h5,725,151,667892
Case_0390,valid_hdf5,train,407,Case_0390.h5,725,151,663009
Case_0391,valid_hdf5,train,706,Case_0391.h5,725,151,680372
Case_0392,valid_hdf5,valid,,Case_0392.h5,725,151,680626
Case_0393,valid_hdf5,train,150,Case_0393.h5,725,151,660178
Case_0394,failed_terminal,excluded,,,,,
Case_0395,valid_hdf5,train,595,Case_0395.h5,725,151,667283
Case_0396,valid_hdf5,train,227,Case_0396.h5,725,151,680376
Case_0397,valid_hdf5,test,,Case_0397.h5,725,151,680102
Case_0398,valid_hdf5,test,,Case_0398.h5,725,151,634508
Case_0399,valid_hdf5,train,50,Case_0399.h5,725,151,702716
Case_0400,valid_hdf5,train,735,Case_0400.h5,725,151,647730
Case_0401,valid_hdf5,train,689,Case_0401.h5,725,151,690018
Case_0402,valid_hdf5,train,748,Case_0402.h5,725,151,690675
Case_0403,valid_hdf5,train,631,Case_0403.h5,725,151,682127
Case_0404,valid_hdf5,train,114,Case_0404.h5,725,151,660738
Case_0405,valid_hdf5,valid,,Case_0405.h5,725,151,647671
Case_0406,valid_hdf5,train,27,Case_0406.h5,725,151,652102
Case_0407,valid_hdf5,train,632,Case_0407.h5,725,151,690637
Case_0408,valid_hdf5,train,298,Case_0408.h5,725,151,668014
Case_0409,valid_hdf5,train,133,Case_0409.h5,725,151,655334
Case_0410,valid_hdf5,valid,,Case_0410.h5,725,151,686601
Case_0411,valid_hdf5,test,,Case_0411.h5,725,151,714082
Case_0412,failed_terminal,excluded,,,,,
Case_0413,valid_hdf5,train,472,Case_0413.h5,725,151,662207
Case_0414,valid_hdf5,train,337,Case_0414.h5,725,151,629920
Case_0415,valid_hdf5,train,192,Case_0415.h5,725,151,707880
